"compliment_id","user_id","number_of_compliments"
"1","3","Medium"
"1","19","Low"
"1","45","Low"
"1","53","Low"
"1","102","Low"
"1","115","Low"
"1","120","Medium"
"1","146","Low"
"1","151","Low"
"1","157","Low"
"1","187","Low"
"1","202","Low"
"1","230","Medium"
"1","238","Low"
"1","262","Medium"
"1","280","Low"
"1","283","Low"
"1","299","Low"
"1","305","Low"
"1","309","Low"
"1","315","Low"
"1","323","Low"
"1","327","Low"
"1","341","Low"
"1","352","Low"
"1","355","Low"
"1","356","Low"
"1","358","Low"
"1","364","Low"
"1","367","Low"
"1","382","Low"
"1","390","Low"
"1","400","Low"
"1","406","Low"
"1","407","Low"
"1","410","Low"
"1","458","Low"
"1","468","Low"
"1","501","Low"
"1","502","Low"
"1","508","Low"
"1","510","Low"
"1","518","Low"
"1","535","Low"
"1","537","Low"
"1","570","Medium"
"1","595","Low"
"1","596","Low"
"1","597","Low"
"1","601","Low"
"1","602","Low"
"1","613","Low"
"1","617","Low"
"1","635","Low"
"1","645","Low"
"1","659","Low"
"1","664","Medium"
"1","669","Low"
"1","685","Low"
"1","694","Low"
"1","701","Low"
"1","731","Low"
"1","740","Low"
"1","749","Low"
"1","766","Medium"
"1","777","Low"
"1","787","Low"
"1","792","Low"
"1","827","Low"
"1","839","Low"
"1","854","Low"
"1","855","Low"
"1","865","Low"
"1","867","Low"
"1","897","Low"
"1","921","Low"
"1","925","Medium"
"1","926","Low"
"1","942","Low"
"1","954","Low"
"1","998","Low"
"1","1032","Low"
"1","1051","Low"
"1","1064","Low"
"1","1072","Low"
"1","1093","Low"
"1","1121","Low"
"1","1125","Low"
"1","1131","Low"
"1","1135","Low"
"1","1148","Low"
"1","1151","Medium"
"1","1181","Low"
"1","1231","Low"
"1","1234","Medium"
"1","1236","Low"
"1","1247","Low"
"1","1258","Medium"
"1","1284","Low"
"1","1286","Low"
"1","1289","High"
"1","1318","Medium"
"1","1328","Low"
"1","1334","Low"
"1","1340","Low"
"1","1355","Low"
"1","1357","Low"
"1","1358","Low"
"1","1360","Low"
"1","1361","Low"
"1","1401","Low"
"1","1406","Low"
"1","1453","Low"
"1","1477","Low"
"1","1480","Medium"
"1","1483","Low"
"1","1519","Low"
"1","1529","Medium"
"1","1566","Low"
"1","1571","Low"
"1","1579","Low"
"1","1606","Low"
"1","1607","Low"
"1","1613","Low"
"1","1622","Low"
"1","1635","Low"
"1","1638","Medium"
"1","1639","Low"
"1","1640","Medium"
"1","1655","Medium"
"1","1668","Low"
"1","1672","Low"
"1","1682","Low"
"1","1693","Low"
"1","1696","Low"
"1","1703","Medium"
"1","1722","Low"
"1","1732","Low"
"1","1734","Low"
"1","1742","Low"
"1","1743","Medium"
"1","1760","Low"
"1","1761","Low"
"1","1771","Medium"
"1","1799","Low"
"1","1818","Low"
"1","1830","Medium"
"1","1856","Low"
"1","1859","Low"
"1","1872","Low"
"1","1952","Medium"
"1","1969","Low"
"1","1980","Low"
"1","1981","Low"
"1","2001","Low"
"1","2002","Low"
"1","2003","Low"
"1","2008","Low"
"1","2031","Low"
"1","2069","Low"
"1","2080","Low"
"1","2082","Low"
"1","2103","Low"
"1","2132","Medium"
"1","2144","Low"
"1","2167","Medium"
"1","2169","Low"
"1","2171","Low"
"1","2173","Low"
"1","2180","Low"
"1","2181","Low"
"1","2224","Low"
"1","2236","Low"
"1","2262","Low"
"1","2272","Low"
"1","2278","High"
"1","2281","Low"
"1","2290","Low"
"1","2294","Low"
"1","2297","Low"
"1","2304","Low"
"1","2318","Low"
"1","2329","Low"
"1","2339","Medium"
"1","2340","Medium"
"1","2347","High"
"1","2373","Low"
"1","2389","Uber"
"1","2406","Low"
"1","2419","Low"
"1","2425","Low"
"1","2428","Low"
"1","2430","Low"
"1","2439","Low"
"1","2466","Low"
"1","2474","Low"
"1","2479","Low"
"1","2483","Low"
"1","2491","Low"
"1","2494","Low"
"1","2497","Medium"
"1","2499","Low"
"1","2523","Low"
"1","2527","Low"
"1","2564","Low"
"1","2569","Low"
"1","2570","Low"
"1","2577","Uber"
"1","2578","Low"
"1","2579","Low"
"1","2580","Low"
"1","2605","Low"
"1","2609","High"
"1","2621","Low"
"1","2639","Low"
"1","2670","Low"
"1","2697","Low"
"1","2700","Low"
"1","2712","Low"
"1","2715","Low"
"1","2734","Low"
"1","2767","Medium"
"1","2768","Low"
"1","2782","Low"
"1","2790","Low"
"1","2800","Low"
"1","2801","Low"
"1","2825","Low"
"1","2848","Medium"
"1","2854","Low"
"1","2862","Low"
"1","2866","Low"
"1","2873","Low"
"1","2874","Low"
"1","2875","Low"
"1","2894","Low"
"1","2904","Low"
"1","2908","Low"
"1","2926","Low"
"1","2954","Low"
"1","2958","Low"
"1","2961","Low"
"1","2997","Low"
"1","3003","Low"
"1","3010","Low"
"1","3011","Medium"
"1","3013","Low"
"1","3023","Low"
"1","3046","Low"
"1","3048","Low"
"1","3065","Low"
"1","3083","Low"
"1","3140","Low"
"1","3154","Medium"
"1","3182","Medium"
"1","3197","Low"
"1","3270","Low"
"1","3273","Low"
"1","3292","Low"
"1","3312","Low"
"1","3375","Low"
"1","3382","Low"
"1","3385","Medium"
"1","3408","Low"
"1","3435","Low"
"1","3452","Low"
"1","3454","Low"
"1","3503","Low"
"1","3516","Low"
"1","3519","Low"
"1","3530","Medium"
"1","3533","Low"
"1","3546","Low"
"1","3548","Medium"
"1","3569","Low"
"1","3601","Low"
"1","3613","Low"
"1","3620","Low"
"1","3622","Low"
"1","3663","Low"
"1","3665","Low"
"1","3667","Low"
"1","3670","Medium"
"1","3683","Low"
"1","3703","Low"
"1","3717","Low"
"1","3719","Low"
"1","3726","Low"
"1","3730","Low"
"1","3752","Low"
"1","3757","Low"
"1","3774","Low"
"1","3789","Low"
"1","3795","Low"
"1","3809","Low"
"1","3815","Medium"
"1","3820","Low"
"1","3850","Low"
"1","3857","Low"
"1","3875","Low"
"1","3890","Low"
"1","3903","Low"
"1","3922","Low"
"1","3926","Low"
"1","3935","Low"
"1","3948","Low"
"1","3950","Low"
"1","3966","Low"
"1","3967","Low"
"1","3972","Low"
"1","3977","Medium"
"1","4004","Uber"
"1","4036","Low"
"1","4056","Low"
"1","4062","Low"
"1","4083","Low"
"1","4087","Low"
"1","4095","Low"
"1","4106","Low"
"1","4119","Low"
"1","4125","Low"
"1","4128","Low"
"1","4129","High"
"1","4146","Low"
"1","4150","Medium"
"1","4163","Low"
"1","4168","Low"
"1","4210","Low"
"1","4225","Low"
"1","4248","Low"
"1","4273","Low"
"1","4275","Low"
"1","4300","Low"
"1","4322","Low"
"1","4378","High"
"1","4384","Low"
"1","4388","Medium"
"1","4389","Low"
"1","4406","Medium"
"1","4408","Low"
"1","4422","Medium"
"1","4424","Low"
"1","4438","Low"
"1","4448","Low"
"1","4453","Low"
"1","4458","Low"
"1","4463","Medium"
"1","4475","Low"
"1","4492","Low"
"1","4498","Medium"
"1","4499","Low"
"1","4503","Low"
"1","4521","Low"
"1","4545","Low"
"1","4551","Low"
"1","4565","Low"
"1","4574","Low"
"1","4585","Low"
"1","4610","Low"
"1","4618","Low"
"1","4619","Low"
"1","4623","Low"
"1","4624","Low"
"1","4645","Low"
"1","4655","Low"
"1","4702","Low"
"1","4707","Low"
"1","4709","Low"
"1","4710","Low"
"1","4713","Low"
"1","4723","High"
"1","4726","Low"
"1","4746","Low"
"1","4749","Low"
"1","4765","Low"
"1","4835","Low"
"1","4838","Low"
"1","4845","Low"
"1","4850","Low"
"1","4861","Low"
"1","4877","Low"
"1","4879","Low"
"1","4881","Low"
"1","4901","Low"
"1","4906","Low"
"1","4924","Low"
"1","4932","Low"
"1","4944","Medium"
"1","4949","Low"
"1","4976","Low"
"1","4979","Low"
"1","4981","Low"
"1","4996","Low"
"1","5005","Low"
"1","5009","Low"
"1","5050","Low"
"1","5056","Low"
"1","5067","Low"
"1","5086","Low"
"1","5088","Low"
"1","5101","Low"
"1","5138","Low"
"1","5139","Low"
"1","5159","Low"
"1","5162","Low"
"1","5174","Low"
"1","5192","Low"
"1","5205","Low"
"1","5207","Medium"
"1","5215","Low"
"1","5216","Medium"
"1","5220","Low"
"1","5246","Low"
"1","5250","Low"
"1","5252","Medium"
"1","5276","Low"
"1","5281","Low"
"1","5311","Low"
"1","5332","Medium"
"1","5366","Low"
"1","5369","Low"
"1","5378","Low"
"1","5380","Low"
"1","5391","Low"
"1","5403","Low"
"1","5418","Low"
"1","5425","Low"
"1","5426","Low"
"1","5465","Uber"
"1","5471","Low"
"1","5519","Medium"
"1","5550","Low"
"1","5585","Low"
"1","5622","Low"
"1","5631","Medium"
"1","5648","Low"
"1","5676","Low"
"1","5698","Low"
"1","5701","Low"
"1","5714","Low"
"1","5715","Medium"
"1","5718","Low"
"1","5722","Low"
"1","5761","Low"
"1","5780","Low"
"1","5802","Low"
"1","5817","Low"
"1","5833","Low"
"1","5834","Low"
"1","5837","Low"
"1","5839","Low"
"1","5846","Low"
"1","5858","Low"
"1","5861","Low"
"1","5887","Low"
"1","5897","Low"
"1","5908","High"
"1","5909","Low"
"1","5912","Low"
"1","5915","Low"
"1","5917","Low"
"1","5935","Low"
"1","5939","Low"
"1","5944","Low"
"1","5951","High"
"1","5952","Low"
"1","5953","Low"
"1","5985","Medium"
"1","5986","Low"
"1","6012","Medium"
"1","6019","Medium"
"1","6027","Low"
"1","6037","Low"
"1","6041","Low"
"1","6045","Low"
"1","6064","Low"
"1","6089","Low"
"1","6133","High"
"1","6136","Medium"
"1","6170","Medium"
"1","6174","Low"
"1","6189","Low"
"1","6196","Low"
"1","6214","Low"
"1","6220","Low"
"1","6237","Low"
"1","6247","Low"
"1","6257","Low"
"1","6292","Low"
"1","6297","Low"
"1","6310","Low"
"1","6322","Medium"
"1","6326","Low"
"1","6379","Low"
"1","6396","Medium"
"1","6406","Low"
"1","6410","Medium"
"1","6433","Low"
"1","6471","Low"
"1","6477","Low"
"1","6498","Low"
"1","6510","Medium"
"1","6532","Medium"
"1","6535","Low"
"1","6554","Low"
"1","6575","Medium"
"1","6576","Low"
"1","6579","Low"
"1","6587","Low"
"1","6590","Low"
"1","6626","Medium"
"1","6629","Medium"
"1","6650","Low"
"1","6651","Medium"
"1","6663","Low"
"1","6689","Low"
"1","6728","Low"
"1","6740","Low"
"1","6765","Low"
"1","6767","Medium"
"1","6788","Low"
"1","6802","Low"
"1","6809","Low"
"1","6834","Low"
"1","6843","Low"
"1","6906","Low"
"1","6919","Low"
"1","6933","Low"
"1","6977","Low"
"1","6979","Low"
"1","6993","Low"
"1","7006","Low"
"1","7009","Low"
"1","7013","Low"
"1","7015","Low"
"1","7023","Low"
"1","7034","Low"
"1","7044","Low"
"1","7054","Low"
"1","7056","Low"
"1","7070","Low"
"1","7090","Medium"
"1","7102","Low"
"1","7116","Low"
"1","7125","High"
"1","7127","Low"
"1","7148","Low"
"1","7160","Low"
"1","7172","Medium"
"1","7223","Low"
"1","7247","Low"
"1","7256","Medium"
"1","7279","Medium"
"1","7296","Low"
"1","7308","Medium"
"1","7321","Low"
"1","7326","Low"
"1","7330","Low"
"1","7334","Low"
"1","7340","Low"
"1","7341","Low"
"1","7347","High"
"1","7353","Low"
"1","7364","High"
"1","7373","High"
"1","7386","Low"
"1","7400","Low"
"1","7439","Low"
"1","7476","Low"
"1","7497","Low"
"1","7510","Low"
"1","7511","Low"
"1","7547","Low"
"1","7567","Low"
"1","7568","Low"
"1","7570","Low"
"1","7575","High"
"1","7609","High"
"1","7634","Low"
"1","7645","Low"
"1","7652","Low"
"1","7664","Low"
"1","7707","Low"
"1","7715","Low"
"1","7736","Low"
"1","7741","Low"
"1","7747","Low"
"1","7749","Low"
"1","7756","Medium"
"1","7765","Low"
"1","7778","Low"
"1","7791","Medium"
"1","7794","Low"
"1","7803","Low"
"1","7807","Medium"
"1","7847","Low"
"1","7854","Low"
"1","7865","Low"
"1","7933","Low"
"1","7934","Low"
"1","7946","Low"
"1","7963","Low"
"1","7965","Low"
"1","7971","Medium"
"1","7982","Medium"
"1","8002","Low"
"1","8006","Low"
"1","8026","Low"
"1","8043","Low"
"1","8049","Low"
"1","8077","Medium"
"1","8084","Low"
"1","8090","Low"
"1","8095","Low"
"1","8097","Low"
"1","8117","High"
"1","8122","Low"
"1","8124","Low"
"1","8173","Low"
"1","8177","Low"
"1","8183","Medium"
"1","8184","Medium"
"1","8193","High"
"1","8198","Low"
"1","8201","Low"
"1","8218","Low"
"1","8256","Low"
"1","8270","Low"
"1","8289","Low"
"1","8306","Medium"
"1","8339","Low"
"1","8343","Low"
"1","8350","Low"
"1","8378","Low"
"1","8379","Medium"
"1","8400","High"
"1","8412","Low"
"1","8417","Low"
"1","8423","Medium"
"1","8439","Low"
"1","8483","Low"
"1","8498","Low"
"1","8521","Low"
"1","8527","Low"
"1","8547","Low"
"1","8566","Low"
"1","8567","Low"
"1","8582","Low"
"1","8590","Low"
"1","8604","Low"
"1","8618","Low"
"1","8630","Low"
"1","8637","Low"
"1","8659","Low"
"1","8671","Uber"
"1","8681","Medium"
"1","8695","Low"
"1","8700","Low"
"1","8737","Low"
"1","8740","Low"
"1","8751","Medium"
"1","8756","Low"
"1","8762","Low"
"1","8772","Low"
"1","8773","Low"
"1","8783","Low"
"1","8810","Low"
"1","8815","Low"
"1","8825","Low"
"1","8848","Medium"
"1","8862","Low"
"1","8863","Low"
"1","8883","Low"
"1","8886","Low"
"1","8898","Uber"
"1","8909","Medium"
"1","8917","Low"
"1","8920","Low"
"1","8930","Low"
"1","8958","Low"
"1","8963","Low"
"1","9003","Low"
"1","9006","Low"
"1","9031","Low"
"1","9039","Low"
"1","9067","Low"
"1","9070","High"
"1","9093","Low"
"1","9114","Low"
"1","9127","High"
"1","9130","Low"
"1","9136","Low"
"1","9146","Medium"
"1","9187","Low"
"1","9221","Low"
"1","9245","Low"
"1","9250","Low"
"1","9255","Low"
"1","9269","Low"
"1","9278","Low"
"1","9283","Low"
"1","9305","Low"
"1","9306","Low"
"1","9331","Low"
"1","9345","Low"
"1","9347","Low"
"1","9352","Low"
"1","9378","Low"
"1","9394","Low"
"1","9427","Low"
"1","9429","Low"
"1","9439","Low"
"1","9444","Low"
"1","9463","Low"
"1","9467","Low"
"1","9484","Low"
"1","9497","Low"
"1","9535","High"
"1","9536","Low"
"1","9554","Low"
"1","9555","Low"
"1","9561","High"
"1","9588","Low"
"1","9591","Low"
"1","9611","Low"
"1","9630","Low"
"1","9637","Low"
"1","9670","Low"
"1","9671","Low"
"1","9672","Low"
"1","9678","Low"
"1","9697","Medium"
"1","9708","Low"
"1","9735","Medium"
"1","9760","Low"
"1","9784","Low"
"1","9797","Low"
"1","9839","Low"
"1","9849","Low"
"1","9876","Low"
"1","9878","Low"
"1","9907","Medium"
"1","9939","Low"
"1","9947","Low"
"1","9957","Low"
"1","9961","Low"
"1","9965","Low"
"1","9974","Low"
"1","9986","Low"
"1","9990","Low"
"1","10000","Low"
"1","10006","Low"
"1","10053","Low"
"1","10089","Low"
"1","10142","High"
"1","10160","Low"
