"business_id","user_id","likes","tip_length"
"2","12490","0","Medium"
"2","16328","0","Medium"
"2","19191","0","Short"
"2","25891","0","Medium"
"2","34759","0","Medium"
"2","45153","0","Short"
"2","47930","0","Medium"
"2","50186","0","Medium"
"2","55989","0","Short"
"2","63111","0","Medium"
"2","63874","0","Medium"
"3","3","0","Short"
"3","1265","0","Medium"
"3","1465","0","Medium"
"3","6133","0","Medium"
"3","12592","0","Short"
"3","14709","0","Medium"
"3","26469","0","Medium"
"3","27129","0","Medium"
"3","28981","0","Medium"
"3","32151","0","Short"
"3","38292","0","Medium"
"3","40355","0","Medium"
"3","42655","0","Medium"
"3","46422","0","Short"
"3","50669","0","Medium"
"3","69085","0","Medium"
"6","42273","0","Medium"
"6","56160","0","Medium"
"8","5267","0","Long"
"8","13432","0","Medium"
"8","31207","0","Medium"
"8","38680","0","Long"
"8","54421","0","Short"
"8","69354","0","Short"
"9","23427","0","Medium"
"9","45551","0","Medium"
"10","19480","0","Medium"
"10","51434","0","Medium"
"11","3069","0","Medium"
"11","33633","0","Medium"
"13","1184","0","Medium"
"13","3899","0","Medium"
"13","11571","0","Medium"
"13","11689","0","Medium"
"13","11920","0","Medium"
"13","11961","0","Short"
"13","12898","0","Medium"
"13","13350","0","Medium"
"13","14125","0","Medium"
"13","17301","0","Medium"
"13","18069","0","Medium"
"13","21671","0","Medium"
"13","22830","0","Medium"
"13","25095","0","Medium"
"13","28077","0","Medium"
"13","30428","0","Medium"
"13","31716","0","Medium"
"13","32001","0","Short"
"13","32356","0","Medium"
"13","34358","0","Medium"
"13","37444","0","Long"
"13","42516","0","Medium"
"13","48104","0","Medium"
"13","50163","0","Medium"
"13","52580","0","Medium"
"13","54256","0","Medium"
"13","55932","0","Medium"
"13","59827","0","Medium"
"13","62318","0","Medium"
"13","63250","0","Medium"
"13","63982","0","Medium"
"13","64426","0","Short"
"13","67452","0","Medium"
"13","67456","0","Medium"
"13","70057","0","Medium"
"16","2033","0","Medium"
"16","13341","0","Short"
"16","27621","0","Medium"
"16","31676","0","Medium"
"16","49016","0","Medium"
"17","7930","0","Medium"
"17","14715","0","Medium"
"17","60036","0","Short"
"18","13880","0","Medium"
"18","27421","0","Medium"
"18","52839","0","Medium"
"18","64246","0","Medium"
"20","35026","0","Medium"
"21","19610","0","Medium"
"22","2950","0","Medium"
"22","4210","0","Medium"
"22","6760","0","Medium"
"22","7784","0","Short"
"22","14915","0","Medium"
"22","20304","0","Medium"
"22","21038","0","Medium"
"22","22435","0","Short"
"22","28077","0","Medium"
"22","28895","0","Medium"
"22","28995","0","Medium"
"22","31339","0","Medium"
"22","32558","0","Medium"
"22","37193","0","Medium"
"22","38292","0","Medium"
"22","39178","0","Medium"
"22","40442","0","Medium"
"22","43010","0","Medium"
"22","43431","0","Medium"
"22","43873","0","Medium"
"22","46974","0","Short"
"22","48599","0","Medium"
"22","49254","0","Medium"
"22","50372","0","Medium"
"22","53896","0","Medium"
"22","55444","0","Long"
"22","56064","0","Medium"
"22","61049","0","Medium"
"22","61327","0","Medium"
"22","62794","0","Medium"
"22","64426","0","Medium"
"22","68557","0","Medium"
"22","70721","0","Short"
"23","1265","0","Medium"
"23","2700","0","Short"
"23","5654","0","Medium"
"23","5817","0","Medium"
"23","19263","0","Long"
"23","21177","0","Medium"
"23","23060","0","Medium"
"23","32503","0","Long"
"23","35612","0","Medium"
"23","37095","0","Medium"
"23","42820","0","Short"
"23","43277","0","Medium"
"23","46555","0","Medium"
"23","50434","0","Short"
"23","58673","0","Medium"
"23","64750","0","Medium"
"23","65037","0","Medium"
"23","68918","0","Medium"
"23","68975","0","Medium"
"23","70419","0","Medium"
"24","1524","0","Medium"
"24","1698","0","Medium"
"24","2275","0","Medium"
"24","2389","0","Medium"
"24","3665","0","Medium"
"24","4694","0","Medium"
"24","5162","0","Medium"
"24","6133","0","Medium"
"24","6342","0","Medium"
"24","7068","0","Medium"
"24","7583","0","Short"
"24","8045","0","Medium"
"24","9617","0","Medium"
"24","9797","0","Medium"
"24","10123","0","Medium"
"24","10210","0","Medium"
"24","10391","0","Long"
"24","11856","0","Medium"
"24","11965","0","Short"
"24","12484","0","Short"
"24","13467","0","Medium"
"24","14125","0","Medium"
"24","14622","0","Short"
"24","16113","0","Medium"
"24","16260","0","Medium"
"24","17126","0","Medium"
"24","17712","0","Short"
"24","18812","0","Medium"
"24","18867","0","Medium"
"24","18988","0","Medium"
"24","19553","0","Medium"
"24","20558","0","Medium"
"24","20584","0","Medium"
"24","20929","0","Short"
"24","21491","0","Medium"
"24","22202","0","Medium"
"24","22743","0","Medium"
"24","23222","0","Medium"
"24","23399","0","Short"
"24","24024","0","Medium"
"24","24990","0","Medium"
"24","25147","0","Medium"
"24","25540","0","Medium"
"24","27447","0","Short"
"24","27797","0","Medium"
"24","28057","0","Medium"
"24","28186","0","Medium"
