"user_id","year_id"
"3","2010"
"3","2011"
"3","2012"
"3","2013"
"3","2014"
"19","2011"
"19","2012"
"33","2011"
"33","2012"
"45","2008"
"45","2009"
"45","2010"
"45","2011"
"45","2012"
"65","2012"
"65","2013"
"65","2014"
"82","2008"
"82","2009"
"94","2012"
"94","2013"
"94","2014"
"102","2006"
"102","2007"
"102","2008"
"102","2009"
"102","2010"
"102","2011"
"102","2012"
"102","2013"
"102","2014"
"105","2011"
"115","2011"
"115","2012"
"115","2013"
"115","2014"
"120","2011"
"120","2012"
"120","2013"
"131","2012"
"132","2012"
"132","2013"
"132","2014"
"146","2009"
"146","2010"
"146","2011"
"146","2012"
"146","2013"
"146","2014"
"151","2012"
"151","2013"
"151","2014"
"185","2013"
"230","2010"
"230","2011"
"230","2012"
"230","2013"
"230","2014"
"235","2012"
"235","2013"
"235","2014"
"248","2013"
"248","2014"
"262","2006"
"262","2007"
"262","2008"
"262","2009"
"273","2012"
"273","2013"
"280","2007"
"280","2008"
"280","2009"
"280","2010"
"283","2009"
"283","2010"
"283","2011"
"283","2012"
"283","2013"
"283","2014"
"295","2008"
"295","2009"
"295","2010"
"295","2012"
"315","2011"
"315","2012"
"315","2013"
"315","2014"
"317","2008"
"317","2009"
"317","2010"
"317","2011"
"323","2013"
"323","2014"
"327","2007"
"327","2008"
"327","2009"
"327","2010"
"327","2011"
"356","2013"
"356","2014"
"372","2012"
"372","2013"
"373","2007"
"390","2011"
"390","2012"
"390","2013"
"390","2014"
"407","2009"
"407","2010"
"407","2011"
"407","2012"
"407","2013"
"407","2014"
"442","2011"
"442","2012"
"445","2013"
"445","2014"
"468","2010"
"468","2011"
"468","2012"
"501","2011"
"501","2012"
"501","2013"
"501","2014"
"502","2010"
"502","2011"
"502","2012"
"508","2011"
"508","2012"
"508","2013"
"508","2014"
"510","2011"
"519","2011"
"519","2012"
"519","2013"
"519","2014"
"531","2011"
"531","2012"
"535","2012"
"535","2013"
"535","2014"
"570","2007"
"570","2008"
"596","2011"
"596","2012"
"597","2009"
"597","2010"
